performance_score,unused-javascript,total-byte-weight,resource_image_bytes,resource_font_bytes,unused-css-rules,unused-javascript_savings_bytes,resource_third-party_bytes,category,strategy
0.56,1200.0,1833557.0,345353.0,46391.0,110.0,456543.0,1104889.0,"Health, Beauty & Fitness",mobile
0.38,900.0,2663439.0,461807.0,46391.0,150.0,452964.0,1091007.0,"Health, Beauty & Fitness",mobile
0.44,780.0,5353812.0,3835818.0,46391.0,160.0,468608.0,848905.0,"Health, Beauty & Fitness",mobile
0.43,750.0,3077856.0,464252.0,46389.0,0.0,550816.0,1483356.0,"Health, Beauty & Fitness",mobile
0.54,900.0,7785615.0,6338413.0,46391.0,300.0,457784.0,781961.0,"Health, Beauty & Fitness",mobile
0.62,0.0,3710214.0,416373.0,120199.0,0.0,1132145.0,3562085.0,Education & Reference,mobile
0.54,300.0,2890507.0,52940.0,165575.0,0.0,1026145.0,2794277.0,Education & Reference,mobile
0.57,350.0,4178783.0,631292.0,74164.0,150.0,1279430.0,4010262.0,Education & Reference,mobile
0.57,300.0,2887641.0,52884.0,165575.0,0.0,1021706.0,2793469.0,Education & Reference,mobile
0.33,4510.0,3496695.0,467871.0,105455.0,300.0,973024.0,3317495.0,Education & Reference,mobile
0.48,2320.0,3409072.0,296546.0,29882.0,0.0,1107252.0,3268778.0,Education & Reference,mobile
0.38,4200.0,3061595.0,332155.0,75892.0,300.0,941347.0,2914860.0,Education & Reference,mobile
0.18,14030.0,6265155.0,195869.0,49831.0,3030.0,2070970.0,1659467.0,Education & Reference,mobile
0.31,8400.0,5536723.0,142844.0,49832.0,2700.0,2185626.0,1649037.0,Education & Reference,mobile
0.32,8550.0,5481485.0,74950.0,49831.0,2700.0,2205112.0,1696382.0,Education & Reference,mobile
0.31,5400.0,5482758.0,90430.0,49831.0,2700.0,2209019.0,1712457.0,Education & Reference,mobile
0.34,8550.0,5523805.0,91982.0,49832.0,2700.0,2211163.0,1709786.0,Education & Reference,mobile
0.29,8400.0,5568674.0,105286.0,49831.0,2700.0,2209898.0,1696578.0,Education & Reference,mobile
0.29,7800.0,5441654.0,89392.0,49831.0,2700.0,2088832.0,1659060.0,Education & Reference,mobile
0.31,7930.0,5477018.0,90420.0,49831.0,2700.0,2072675.0,1753441.0,Education & Reference,mobile
0.37,12830.0,5249108.0,75499.0,49830.0,2880.0,2133068.0,1648393.0,Education & Reference,mobile
0.29,450.0,5419448.0,64037.0,49831.0,2870.0,2108811.0,1648619.0,Education & Reference,mobile
0.3,2720.0,4042386.0,2289178.0,170339.0,0.0,573472.0,3816023.0,Education & Reference,mobile
0.64,0.0,2732566.0,208943.0,39874.0,0.0,910337.0,647939.0,Education & Reference,mobile
0.18,1810.0,4132417.0,703710.0,337167.0,0.0,953549.0,1977600.0,Education & Reference,mobile
0.42,300.0,3312703.0,99607.0,226036.0,0.0,938317.0,1715478.0,Education & Reference,mobile
0.37,0.0,12599503.0,9317829.0,226036.0,150.0,897709.0,1719590.0,Education & Reference,mobile
0.41,300.0,5362227.0,2176128.0,226036.0,150.0,1015508.0,1715332.0,Education & Reference,mobile
0.2,1790.0,3375503.0,84487.0,322309.0,0.0,953511.0,1858981.0,Education & Reference,mobile
0.36,0.0,12608872.0,9328078.0,226037.0,150.0,918290.0,1750998.0,Education & Reference,mobile
0.45,150.0,12545945.0,9325169.0,226018.0,0.0,876735.0,1725541.0,Education & Reference,mobile
0.38,0.0,12545877.0,9326444.0,226039.0,150.0,879370.0,1657471.0,Education & Reference,mobile
0.14,1400.0,3755040.0,497697.0,226039.0,0.0,986949.0,1817424.0,Education & Reference,mobile
0.47,2550.0,3061323.0,93290.0,209235.0,0.0,1446588.0,1060464.0,Education & Reference,mobile
